wage,height,weight,age,educ,male,married
26400,176,80,48,18,1,0
53050,176,90,58,18,0,0
43200,189,100,36,15,1,0
30000,180,62,30,18,0,0
75000,169,93,50,18,1,0
59700,180,82,62,18,1,0
38400,157,48,62,18,0,0
20400,175,65,52,10.5,0,1
49700,183,78,39,11.5,1,0
54600,178,72,33,18,1,0
45806,168,70,45,11.5,0,0
29373,162,56,27,15,0,0
26200,180,75,36,14,1,1
30000,163,61,34,18,0,1
27800,192,110,26,11.5,1,0
14000,183,90,30,11.5,1,0
36000,168,65,54,15,0,0
21600,165,78,28,12,0,0
39000,172,72,45,18,0,0
16150,170,64,48,13,0,1
47992,185,94,45,12,1,1
45600,184,76,51,18,1,0
51120,180,66,51,18,0,1
40200,168,53,29,18,0,0
42000,182,75,29,18,1,0
19800,152,46,60,10,0,0
46442,167,78,60,11.5,0,0
33060,181,75,33,16,1,1
15210,163,55,25,8.5,0,0
38696,169,62,55,16,0,0
25970,188,93,54,15,1,0
24680,180,98,39,12,1,1
38050,184,95,50,12,1,1
43154,178,69,44,11,1,1
37700,180,81,44,10.5,1,0
100600,183,85,48,11.5,1,1
71600,180,81,42,16,1,1
64000,168,68,39,11.5,0,1
26000,166,53,38,11.5,0,0
34604,175,78,42,11.5,1,0
29964,197,85,48,11.5,1,0
65942,168,76,59,11.5,1,1
16800,163,53,30,15,0,0
27900,180,84,29,11.5,1,0
50550,189,91,44,15,1,0
45078,167,67,33,11.5,0,0
15011,170,74,36,13,0,0
31200,174,74,34,12,1,0
33050,180,83,56,10.5,1,1
37700,175,70,63,13,1,1
45400,176,80,45,12,1,1
44900,160,92,57,11.5,0,1
16100,156,78,31,10.5,0,1
22200,186,140,32,11,1,1
28800,197,105,49,18,1,1
34600,186,108,51,11.5,1,1
30650,165,55,53,10,0,1
42800,172,70,55,12,1,1
23100,173,88,38,10.5,1,0
32100,165,75,40,11.5,0,0
30150,170,80,44,10.5,1,1
27500,163,70,37,10.5,0,0
19000,183,110,35,10.5,1,0
35000,170,115,53,10.5,1,1
33160,186,105,50,11.5,1,1
48300,168,89,47,10,0,1
14400,176,95,22,9,1,0
27560,196,82,40,10.5,1,1
25600,178,110,50,10.5,1,0
63560,175,82,43,11.5,1,0
45700,178,82,49,11.5,1,1
34300,183,160,39,11,1,1
62400,188,90,42,18,1,1
27000,168,65,46,10.5,0,0
56300,182,73,46,10.5,1,1
69900,180,79,41,14,1,1
13539,171,66,40,13.5,0,1
43761,178,82,37,14.5,1,0
32720,175,59,31,11.5,0,0
28706,164,56,31,14.5,0,0
78981,184,83,61,11.5,1,1
45650,193,93,39,14.5,1,1
67200,170,55,61,12,1,0
72000,186,82,42,18,1,1
88400,176,60,39,16,0,1
46024,186,92,51,11.5,1,1
27765,189,108,53,10.5,1,0
32400,182,96,45,10.5,1,1
62300,180,90,64,13.5,1,1
26200,167,85,60,11.5,0,1
47300,181,109,45,16,1,1
24520,200,105,42,10.5,1,1
32197,173,66,43,11.5,0,1
30900,171,61,37,14.5,0,1
44400,190,81,40,17,1,1
35600,186,92,33,10.5,1,1
28400,168,100,51,11.5,0,1
42400,187,105,44,12,1,1
36532,165,64,59,10.5,0,0
63000,183,85,29,18,1,0
26400,187,90,26,14.5,1,0
28374,165,64,58,11.5,0,1
58800,189,100,36,14.5,1,1
59100,167,65,41,11.5,0,1
30000,170,62,26,14.5,0,0
57080,169,73,59,18,1,0
27589,194,90,31,11.5,1,0
26900,173,85,39,11.5,1,1
42000,178,84,43,11.5,1,1
24090,175,60,27,14.5,0,0
31490,180,90,39,10.5,1,1
60000,179,78,47,18,1,0
35570,170,68,52,9,0,0
108000,183,135,64,12,1,0
77336,178,80,42,16,1,1
32268,175,82,63,12,1,1
54000,183,115,44,11.5,1,0
35828,163,84,46,14.5,0,1
57702,186,98,45,10.5,1,1
75500,190,86,51,15,1,1
37450,173,75,50,11.5,0,0
36000,176,63,49,18,0,1
24000,175,82,49,16,1,1
68300,172,80,40,18,1,0
29024,163,70,58,16,0,0
54600,185,86,46,13.5,1,1
24000,175,95,51,10.5,1,1
27000,165,55,46,9,0,1
32438,183,79,49,18,1,1
24112,170,121,48,12,1,1
18000,160,99,50,10.5,0,1
37140,172,89,58,10,1,0
39780,166,93,42,15,0,1
42660,168,68,54,11,0,1
30872,180,85,45,11.5,1,1
15600,170,63,44,12,0,1
26600,175,72,42,10.5,1,1
97000,186,90,40,18,1,1
28200,197,87,47,10.5,1,1
54100,182,135,36,11.5,1,1
27000,178,120,45,10.5,1,0
32562,178,118,42,12,1,1
49292,186,91,39,10.5,1,1
27700,183,140,36,10.5,1,1
57200,170,64,61,10.5,1,1
19500,174,74,63,9,0,1
19200,194,100,39,9,1,1
12004,180,84,41,13,0,1
46400,185,84,49,18,1,1
37200,180,73,39,12,1,1
32500,157,80,32,11.5,0,1
24600,174,84,37,11.5,1,1
37800,183,75,31,13,1,0
19500,168,50,27,12,0,0
108000,178,90,59,10.5,1,1
29450,192,90,41,11,1,0
78900,187,92,53,13.5,1,1
19200,186,120,29,12,1,1
37980,178,70,51,10.5,0,0
61200,171,75,56,18,0,0
47660,182,111,51,18,1,0
52466,185,89,36,18,1,0
39600,175,85,48,11.5,1,1
69680,179,75,40,14.5,1,1
27000,172,70,36,15,0,0
22589,179,62,46,13,0,0
20400,185,85,54,18,1,0
38465,179,77,55,13.5,1,1
18184,164,80,50,12,0,1
37800,182,75,41,11.5,1,1
21945,173,72,35,13.5,0,1
72350,174,80,42,18,1,1
73496,180,78,39,18,1,1
16800,176,69,52,9,1,0
27000,167,78,50,14.5,0,1
145500,189,101,59,18,1,1
38600,183,95,43,10.5,1,1
20100,168,56,41,11.5,0,1
30250,172,64,29,14.5,0,0
33725,180,87,32,11.5,1,0
33145,168,75,26,15,0,0
49200,168,59,62,18,0,0
40500,192,95,55,12,1,1
24100,185,95,49,12,1,1
33348,180,89,50,10.5,1,1
39800,170,99,55,12,0,1
70475,183,97,49,15,1,1
139320,180,82,50,18,1,1
28820,154,84,51,11.5,0,0
31200,172,97,28,11.5,1,0
19080,167,90,49,10.5,0,1
21600,190,110,26,9,1,0
46174,175,94,40,11,1,1
48763,190,96,44,14.5,1,1
21850,175,105,37,10.5,1,1
19550,165,87,42,11,0,0
32000,169,85,42,10.5,0,1
